iter	MultiClass
0	1.086623423
1	1.077446566
2	1.069347177
3	1.063514645
4	1.057213103
5	1.052243568
6	1.048105657
7	1.044224181
8	1.040760462
9	1.037852958
10	1.035514767
11	1.032955303
12	1.030733254
13	1.028925416
14	1.027403707
15	1.025816076
16	1.024578146
17	1.023190315
18	1.021389348
19	1.020039267
20	1.018882781
21	1.018104849
22	1.017087381
23	1.016369677
24	1.015655182
25	1.014923126
26	1.014153639
27	1.013402457
28	1.012598746
29	1.011855406
30	1.011222698
31	1.010470242
32	1.00983212
33	1.009217112
34	1.008512359
35	1.007798562
36	1.007281017
37	1.006696464
38	1.006246038
39	1.005798883
40	1.005377177
41	1.004837051
42	1.004263512
43	1.003676498
44	1.003324762
45	1.003032388
46	1.002470294
47	1.002146238
48	1.001782332
49	1.001441349
50	1.001154091
51	1.000769682
52	1.000305227
53	0.9999086093
54	0.9994930411
55	0.9991717973
56	0.9989030313
57	0.9986655189
58	0.9984073687
59	0.9981560747
60	0.9976878776
61	0.9973090895
62	0.9970997122
63	0.9966348629
64	0.9962741503
65	0.9959850551
66	0.9956674541
67	0.9954883478
68	0.9950400018
69	0.9949123833
70	0.9947014359
71	0.9944753197
72	0.9941139165
73	0.993779976
74	0.9935304399
75	0.993337274
76	0.9930529086
77	0.9928033936
78	0.9925017176
79	0.9920752982
80	0.9918668161
81	0.9916443791
82	0.9914423067
83	0.9912603938
84	0.9910083931
85	0.9907824252
86	0.9906695675
87	0.9904808644
88	0.9902022758
89	0.9900225418
90	0.989836233
91	0.9895932141
92	0.9893534183
93	0.9889947604
94	0.9887543654
95	0.988520679
96	0.9883566423
97	0.9882408444
98	0.9880522624
99	0.9879046829
100	0.9876595423
101	0.9873961531
102	0.9871524331
103	0.9868717285
104	0.9866626383
105	0.9864189245
106	0.9862386666
107	0.9860188618
108	0.9858344164
109	0.9856484888
110	0.9854571906
111	0.9851862634
112	0.9848766145
113	0.9846540101
114	0.9843522497
115	0.984166814
116	0.9839695616
117	0.9837730542
118	0.9834443249
119	0.9831924739
120	0.9830382494
121	0.9828702913
122	0.9826614201
123	0.9824514505
124	0.9822061915
125	0.9819503157
126	0.981774075
127	0.981403657
128	0.9812149327
129	0.9809699026
130	0.9808075738
131	0.9806306717
132	0.9803733982
133	0.9801151446
134	0.9798381387
135	0.9796587594
136	0.9794581004
137	0.9793387106
138	0.9791467021
139	0.978894672
140	0.9787649631
141	0.9784404324
142	0.9782708383
143	0.9780569362
144	0.9778521544
145	0.9776548718
146	0.9774974736
147	0.9771666535
148	0.9769342577
149	0.9766881133
150	0.9764953794
151	0.9763668529
152	0.9761532841
153	0.9759552395
154	0.9757612155
155	0.9756376894
156	0.9753596909
157	0.9750630661
158	0.9748033816
159	0.9746209385
160	0.9744094427
161	0.9742045725
162	0.9740113285
163	0.9738903079
164	0.9737325781
165	0.9734929126
166	0.973324657
167	0.9730257792
168	0.972856349
169	0.972582328
170	0.9723398651
171	0.9721642787
172	0.9720344871
173	0.9718371562
174	0.971630535
175	0.9714742937
176	0.9713490492
177	0.9712605185
178	0.9710981068
179	0.9709669667
180	0.9708054071
181	0.970686183
182	0.9706099569
183	0.9703855524
184	0.9701828144
185	0.9699077502
186	0.9697411986
187	0.9694898859
188	0.9692935801
189	0.9691581337
190	0.9689859725
191	0.9688008119
192	0.9686423445
193	0.968509931
194	0.9683321818
195	0.9681648525
196	0.9680332713
197	0.9678723716
198	0.9676404743
199	0.9675125911
200	0.9673713663
201	0.9672453146
202	0.9670583649
203	0.9668527555
204	0.9665940255
205	0.9664424421
206	0.9662876658
207	0.9661699182
208	0.9660421714
209	0.9659306212
210	0.9658265385
211	0.965702691
212	0.9655415494
213	0.9653678759
214	0.9652343328
215	0.9650790853
216	0.9648656431
217	0.9647017595
218	0.9645667326
219	0.964350585
220	0.9642829702
221	0.9641783339
222	0.9640999787
223	0.9639269206
224	0.9637315152
225	0.9636075572
226	0.9634573303
227	0.9633350103
228	0.9632042873
229	0.9630489635
230	0.9628044154
231	0.9626119597
232	0.9625307084
233	0.9624739581
234	0.9623126615
235	0.9621697238
236	0.9620042477
237	0.961860929
238	0.9616980506
239	0.9616126022
240	0.9615220217
241	0.9613451566
242	0.9612044273
243	0.9610569778
244	0.960895087
245	0.9606697022
246	0.9604647945
247	0.9603362816
248	0.9601934674
249	0.9599843244
250	0.9598278653
251	0.9595513106
252	0.9594062579
253	0.9592386477
254	0.9591278615
255	0.9589373971
256	0.9587737303
257	0.9585874452
258	0.9584103503
