iter	Passed	Remaining
0	165	82693
1	182	45337
2	197	32789
3	214	26653
4	230	22868
5	248	20450
6	266	18772
7	285	17579
8	300	16410
9	330	16203
10	352	15662
11	370	15068
12	393	14736
13	414	14398
14	433	14027
15	451	13663
16	468	13306
17	490	13147
18	519	13146
19	544	13060
20	568	12967
21	592	12866
22	618	12829
23	651	12912
24	681	12948
25	713	13006
26	737	12911
27	757	12768
28	776	12612
29	795	12464
30	813	12309
31	832	12171
32	849	12017
33	867	11889
34	885	11761
35	901	11614
36	918	11488
37	934	11360
38	950	11239
39	973	11191
40	992	11112
41	1012	11041
42	1036	11017
43	1062	11006
44	1086	10980
45	1105	10914
46	1129	10883
47	1153	10864
48	1176	10825
49	1194	10746
50	1211	10667
51	1231	10609
52	1255	10591
53	1277	10551
54	1295	10482
55	1317	10444
56	1350	10492
57	1380	10519
58	1402	10483
59	1424	10442
60	1443	10391
61	1461	10326
62	1483	10293
63	1508	10276
64	1527	10225
65	1548	10184
66	1568	10138
67	1586	10081
68	1606	10034
69	1627	10000
70	1647	9954
71	1666	9904
72	1685	9859
73	1706	9826
74	1726	9784
75	1746	9743
76	1766	9702
77	1786	9666
78	1805	9619
79	1824	9576
80	1842	9531
81	1860	9484
82	1880	9446
83	1900	9410
84	1918	9369
85	1938	9331
86	1955	9282
87	1974	9246
88	1996	9219
89	2016	9185
90	2035	9148
91	2057	9126
92	2078	9096
93	2100	9070
94	2121	9045
95	2143	9021
96	2166	9003
97	2184	8959
98	2203	8923
99	2219	8876
100	2236	8836
101	2253	8793
102	2273	8761
103	2289	8718
104	2305	8671
105	2319	8622
106	2338	8587
107	2355	8550
108	2384	8552
109	2403	8522
110	2422	8488
111	2440	8454
112	2456	8414
113	2473	8376
114	2490	8336
115	2506	8297
116	2521	8252
117	2537	8214
118	2554	8177
119	2570	8140
120	2586	8100
121	2603	8066
122	2617	8023
123	2634	7988
124	2651	7953
125	2669	7924
126	2685	7886
127	2702	7852
128	2716	7812
129	2733	7779
130	2748	7741
131	2764	7706
132	2780	7672
